id,text,label
9863,"Есть шансы на то, что законопроект будет отклонён.",0
9864,"А потом тысячи людей увидят меня, какой honour! "".",1
9865,"Ли повторил: пытаясь быть реалистичным, как мы всегда делали...",1
9866,Она состояла в Future Farmers of America и стала зарегистрированным резаком мяса в старшей школе.,0
9867,"Именно этот «синтез искусств», очень редкий в белградской архитектуре, делает здание Белградского кооператива уникальным творением.",0
9868,"Напротив, «истинность» самих исламских положений стала оцениваться с точки зрения их соответствия этой теории.",0
9869,"Это займёт у меня слишком много времени, чтобы объяснить, почему это не будет работать.",0
9870,В 1990-х годах появились проблемы с сертификацией оригинального дизайна Broxodent.,0
9871,"Начиная от Давида, она даёт имена первосвященников и пророков, живших при каждом царе.",0
9872,"В сентябре 2007 года шейх Мохаммед запустил кампанию «Dubai Cares», чтобы собрать средства для образования 1 миллиона детей в бедных странах.",1
9873,Выбор кодировочной системы не влияет на статистику F или R2.,1
9874,"Убийство Гали было первым из серии убийств, которые продолжались до 1915 года.",1
9875,"Чтобы уменьшить затраты, они сделали запись ночью и закончили альбом на четырех сессиях.",0
9876,"Не женитесь на язычницах, пока они не уверуют.",0
9877,В результате взрыва 25 июня 1997 года 19 человек были убиты.,1
9878,"Вышел в феврале 1977, фильм делает только 144 000 входов,.",1
9879,"Это компьютер, на котором он пишет свои статьи.",0
9880,В своей речи она размышляла о монархии и ее собственных 25 годах в качестве королевы.,0
9881,"Он напомнил жене, чтобы она разбудила его в семь утра.",0
9882,"С другой стороны, он способствовал мирному соглашению с Аргентиной в 1984 году, когда обе страны были готовы вступить в войну.",0
9883,"Американцы заявили, что нашли от 30 до 40 мёртвых индейцев на поле боя.",0
9884,"Джоди и Дэн, с помощью близкого друга Джоди Кендра, должны быстро найти способ положить конец проклятию и спасти свою семью.",1
9885,"""Кто хочет работать в Зеленой Хилл Зоне?"".",1
9886,В 2007 году европейские проверяющие признали российский проект соответствующим всем современным техническим требованиям.,0
9887,"Но Moriarty immediately возвращается с несколькими снайперами, нацеленных на Шерлока и Джона.",1
9888,Покончил жизнь самоубийством в 2007 в разгар финансового скандала.,0
9889,"По словам правозащитников, в мае и августе около 30 узников были забиты до смерти, ещё несколько были застрелены солдатами.",0
9890,"Пайпер и Эндрюс первое время активно способствовали развитию сообщества, размещая рекламу в чикагских газетах.",0
9891,«Самый высокий человек на Земле и идиотский ветер»,1
9892,"802.11r был запущен, чтобы попытаться облегчить дополнительную нагрузку на безопасность и качество обслуживания при переключении и вернуться к первоначальному обмену четырьмя сообщениями.",1
9893,"В альтернативной вселенной Лига Справедливости является грубой силой, которая поддерживает порядок на Земле.",0
9894,"Колониальная архитектура — старые колониальные дома вдоль реки с французскими пекарнями и кафе вдоль улиц 1, 2 и 3.",0
9895,"Например, существует два неизоморфных кубических поля Seibo 3969.",1
9896,"15 апреля 1953 года, станция была сильно повреждена в результате взрыва бомбы, заложенной в одном из проходов.",0
9897,"""Гамма ""Deadbool"" объявлена, ни одна платформа не названа"".",1
9898,"Дети, проводящие больше времени на улице, имеют меньший риск развития близорукости.",0
9899,После войны французские власти приговорили его к 15 годам тюрьмы.,1
9900,Второе сообщение было выпущено через час и сообщало о высоте 600 метров.,1
9901,Султан распустил Совет 1 сентября 2005 года и на следующий день воссоздал Совет на основе измененного варианта Конституции Брунея.,1
9902,Период 1900-1915 годов был исключительно насыщенным для развития железной дороги в Канаде.,1
9903,"Но после семи лет, которые мы провели вместе, самое малое, что было затронуто, было музыкой».",1
9904,"Впервые организаторы похищения, зная о неэффективности последующих переговоров с Мусой, прекратили его.",1
9905,"Мы и поняли тут, что Гапон честный человек, и поверили ему».",0
9906,Он получил репутацию между мормонскими лидерами и индийскими агентами как лидер группы коренных американ.,1
9907,"До тех пор, пока она не замерзает, это нормально.",1
9908,"В Испании строят много, а в Китае ещё больше.",0
9909,"Я прошу тебя, Papa, будь хорошо с ним. Я не могу выразить, насколько я люблю его дружбу.",1
9910,"Политические взгляды Андре Артура, как правило, имеют право на политический спектр, и он считает себя либерарийцем.",1
9911,G. 55 был повторно испытывают в Рехлине в присутствии Milch.,0
9912,"Мальчик того же возраста, что и мой брат.",1
9913,Однако в конце 1930-х годов решение этого вопроса выходило за пределы компетенции деятелей республиканского уровня.,0
9914,"Она также добавила: «Я бы сделала только третье, если бы это было логично.",0
9915,"Вы можете это видеть в аэропортах, Вы видите это повсюду».",0
9916,В 1986 году были выпущены два правительственных указа по разработке аналогичного проекта.,1
9917,"Ожидается, что в 2006 году в Шанхае вступит в брак 150 тысяч пар.",1
9918,Альпийская конвенция является международным территориальным договором об устойчивом развитии Альп.,1
9919,"Обучение возможно только в пределах ограниченного возраста, известного как критический период.",1
9920,Этот термин не применяется к тамильским иммигрантам в этих районах.,1
9921,"Она является дочерью продавца, который часто меняет работу.",1
9922,"Perfect Dark Zero перемещает нас в 2020 год, когда большая часть мира контролируется корпорациями.",0
9923,"И наконец, они решают принять участие в Парламенте.",0
9924,В то время Гордон имела определённое влияние в Японии.,0
9925,С 3 января представители партий начали вступать в собрания с целью привлечения рабочих к революционным путям.,1
9926,"Стэнли также сказал, что двухчасовая версия 24-х доказывает, что сокращение не всегда плохо.",1
9927,"Вы, вероятно, думаете, что она сказала мне, что она на своем пути посетить больную бабушку.",1
9928,Организация Freedom House относит Россию к странам с несвободным интернетом.,0
9929,"Он также прошел через Хуасимо, Солану и Аябаку, уничтожая местное сопротивление и уничтожая все на своем пути.",1
9930,"Это, вероятно, произошло в какой-то момент в течение первых 700 или 800 миллионов лет своей истории.",1
9931,"Тем не менее, с этой системой было сделано большое количество измерений, в том числе много ярких звезд.",1
9932,Решение отправить Майкла в психиатрическую больницу было слабой попыткой спасти ребёнка.,0
9933,"Но он будет работать в этой должности только на семь месяцев, так как в 1783 был открыт общественный театр.",1
9934,"Министерство иностранных дел несет ответственность в первую очередь за поддержание хороших, дружеских отношений между Польской Республикой и другими государствами.",0
9935,"Помимо внутреннего надзора, «Офис 610», как утверждается, участвует во внешней разведке.",0
9936,"Все устойчивые структуры, которые появляются, быстро уничтожаются окружающим шумом.",1
9937,"Водитель Uber объясняет: ""Гибкость выходит далеко за рамки того времени, которое вы выбираете для работы в любую конкретную неделю.",0
9938,"Руководитель штурма Дворца Амина, во время которого погиб.",0
9939,"Что касается мнений по Израилю и Ближнему Востоку, то и Израиль, и Палестина были восприняты большинством опрошенного населения неблагоприятно.",1
9940,"СПб.: Издательство Пушкинского фонда, 2002 Муравейник.",1
9941,Все они являются алгебраическими и в некотором смысле большинство поверхностей находятся в этом классе.,0
9942,В одной из версий этой легенды русский царь предложил взять её замуж.,0
9943,"В мае 2013 года правительством области Омск продолжается поиск инвестора, предполагая, что аэропорт будет построен за счет коммерческой деятельности.",1
9944,"Я думаю, что он будет рад видеть вас.",1
9945,Формирование общественного жилищного строительства стало главной заботой социал-демократов в Вене.,0
9946,В 1954 году 87 из его портретов известных шведов были опубликованы в книге «Швеция в профиле».,1
9947,"Кроме того, в 2006 и 2012 годах были признаны в качестве таких местными властями.",1
9948,"Я сомневаюсь, что он придет в свое время.",1
9949,Тайное братство ΧΨ было основано 20 мая 1841 года десятью студентами Юнион колледжа с идеей подчеркивая братские и социальных принципов братства.,0
9950,"Инженеры должны оказывать услуги только в областях, входящих в их компетенцию.",1
9951,"Возможно, его самым известным произведением является ""Молодая женщина читает на окне"".",1
9952,"Католики, в свою очередь, заявляют, что речь лишь идёт о коммунизме/атеизме.",0
9953,"Он сказал: ""Я хочу стать учёным"".",0
9954,"Меры по защите животных включают принятие законодательных актов и международных конвенций, создание организаций, кампании по повышению осведомленности, образование и другие.",0
9955,"Он стал вторым международным хитом Мартина после ""María"".",1
9956,Они также используются в отношении такой тематики как «Круги благополучия детей» (с World Vision).,0
9957,"В результате группа продюсеров переехала в частный вертолетный аэропорт, который служил в качестве резервного пункта по меньшей мере в семи местах для фильма.",1
9958,"Быть может, я несчастлив, но я не собираюсь убивать себя.",0
9959,Жизнь чувствует себя и переживает себя в невидимой внутренней области и в радикальной имманенции.,0
9960,"Одна из таких сцен показывает тень своего отца, как тень Монстра.",1
9961,Многие молодые люди погибли за демократию во время этой войны.,1
9962,В начале 2014 года до 300 ветеранов бригады Баттар вернулись обратно в Ливию.,0
9963,«В какое время? «Это десять часов. »,1
9964,"Рэй был готов подтвердить историю Гари, но полиция всё ещё не была убеждена, что они оба говорят правду.",0
9965,"У меня не было другого выбора, кроме как сделать это.",0
9966,"Считается, что он плачет. Мы лучше закрыть окна.",1
9967,"Подумай о том, чтобы дать нам слово, как только ты придешь в Лондон.",1
9968,"Созерцать полет диких гусей, замеченных и потерянных среди облаков.",0
9969,"Вам придется присутствовать на церемонии независимо от того, свободны вы или заняты.",1
9970,Под угрозой расстрела немецкая администрация заставляли заключённых работать с утра до поздней ночи.,0
9971,Макмиллан-Скотт долгое время изучал тоталитаризм; его противостояние советской системе разделялось многими консерваторами.,1
9972,"Она также купила ферму в Ирландии, которую вел её сын Дмитрий и которую она иногда посещала.",1
9973,Каждая конкурирующая страна могла претендовать на одну лодку для каждого из четырнадцати событий.,0
9974,Затем он отправился в Иерусалим в надежде захватить город и быстро положить конец войне.,1
9975,И король и королева в молодости получили современные европейские образованиями.,0
9976,"В Соединенных Штатах, где каждое государство выпускает свои собственные регистрационные знаки, государство Нью-Йорка с 1901 года требовало номерных знаков.",1
9977,"По сравнению с началом 2005 года, эксплуатация увеличилась на 124 скважины, а неиспользованные месторождения снизились на 209 скважины.",1
9978,Прошлой весной я ходил на кулинарные курсы и научился печь хлеб.,0
9979,"Железный человек обещает больше не причинять неприятностей местным жителям, пока никто не беспокоит его.",0
9980,"Мой дядя стоял там, стоя, с перекрещенными руками.",1
9981,"Ты должен был рассказать ему об этом, пока он был здесь.",1
9982,Поэтому только свободные числа квадратов могут быть числами Джуги.,1
9983,"В своей резиденции в Индии Николай Рерих с первых дней Второй мировой войны использует все возможности, чтобы помочь России.",1
9984,К 1988 году он открыл собственные бутики в этих двух городах и в Париже.,0
9985,"Когда закончишь с книгой, положи ее туда, где нашла.",1
9986,"Когда модель обновляется (обычно по нескольким источникам), только сегменты, которые необходимо перерабатывать, будут отмечены грязными.",0
9987,Численность животных превысила 13 % от общего числа населения Югославии.,1
9988,"9 мая 2011 власти сообщили, что 2 из новейших груд останков могут быть работой второго убийцы.",0
9989,Внутрифирменные переводы по разным оценкам составляют треть от всей трансатлантической торговли.,0
9990,"В ответ Бруно тактически ответил: «Есть два человека, которым нельзя командовать: король и мой отец».",1
9991,"Изобретение швейной машины в 1589 году означало, что шляпы можно было шить шесть раз быстрее, чем с помощью руки.",1
9992,Шесть лет спустя альбом был переиздан компанией Nitro Records.,1
9993,"Как только польский вопрос будет решен, я хочу закончить свою жизнь как художника».",1
9994,"Вполне возможно, что это не имеет никакого отношения к нашей проблеме.",0
9995,Вся его семья такая. Они как песчинки в мосту.,1
9996,"А затем Харрис предупредил его: «Брукс, ты мне теперь нравишься.",0
9997,"Его отец проявляет насилие с его женой, и он регулярно спрашивает Равахол, чтобы найти предлоги против него.",1
9998,"Эта паника затронула генуэзских наемников, которые составляли самую опытную часть французского флота, и они требовали большей оплаты.",0
9999,"Он предостерегает их, чтобы никому не говорили, и чтобы они не вводили эксперименты в воду.",1
10000,В 1897 был сформирован первый профессиональный коллектив — «Мусульманская драматическая труппа».,0
10001,В 1855 году Верховный совет южной юрисдикции назначил комитет для подготовки полных ритуалов с 4 по 32 степень.,0
10002,"Среди вышеуказанных изменений, создание Конституционного суда считается успешным новшеством в конституционной системе Индонезии.",1
10003,"В некоторых случаях, решение суда принимается по окончании слушания.",1
10004,"Однако всё изменилось, когда местность, где они занимались ловлей, была поражена ураганом Кармен.",0
10005,"Возможно, его жена не знала о его реальной личности.",0
10006,Джеймс также сыграл в одном или двух товарищеских матчах с командами Варшавы.,1
10007,"На следующий день солдаты, включая Силвера, вернулись на поиски помещения.",1
10008,В декабре 3.0 легко выиграл второй чемпионат микрокомпьютеров в Лондоне.,0
10009,"С силой фантазии, мы можем даже путешествовать в космосе.",1
10010,Вот сегодня мы отрезаны уже полностью и не имеем намерений вновь поддерживать эти отношения».,0
10011,После ряда таких конфликтов Новая Франция вынуждена была уступить британским колониям или испанским колониям Мексики часть своих территорий.,0
10012,"Однако, MP4/8 был достаточно конкурентоспособен, чтобы достигнуть небольшого количества замечательных успехов.",0
10013,"Я бы хотел, чтобы Том был моим младшим братом.",1
10014,"Помимо своей реалистической работы, Хельнвейн также начал развивать абстрактные, экспрессивные стили живописи в течение этого периода.",1
10015,"Национальная полиция заявила, что есть «злые люди», которые прервали мирные акции протеста в стране.",0
10016,"Это самая абсурдная идея из тех, что я когда-либо слышал.",0
10017,"«Понятно, и не впервые лидер FPÖ пытается разжечь антисемитские настроения.",0
10018,"Человек, читающий газету вон там, — мой дядя.",0
10019,"Если вы не можете сдержать обещание, как вы будете извиняться?",0
10020,В этом отеле шеф-повар научил его традиционной испанской кухне.,1
10021,"Вы можете выбрать любой цвет, который вам нравится.",1
10022,"Сам Джон Гонт находился в Берике, когда 17 июня получил вести о восстании.",0
10023,"Кто-то сказал: „Kiss Land“, а я лишь подумал: „Так и будет называться мой альбом“.",0
10024,"Он был, в моем взгляде, гением химии.",1
10025,"По конституции Австралии, ответственность за оборону возлагалась на новое федеральное правительство.",0
10026,В 2004 году оно взяло на себя ответственность за прибрежные дела и изменило своё имя.,0
10027,На протяжении всей своей карьеры Мишель Бастараш боролся за права языковых меньшинств.,0
10028,Они сформировали странный союз с пробританскими и сильно монархистскими англиканцами (часто членами ордена Оранжевого) для формирования основы Консервативной партии Канады.,1
10029,"Когда пыль входит в тень позади Юпитера, она быстро теряет свой электрический заряд.",0
10030,Я видел ее и я видел тёплое в ее глазах.,1
10031,Эта известная певица приехала в Бразилию в начале этого года.,0
10032,"Термин был введен на польском языке Венгрии, где аналогичные встречи проводились в поле под названием Ракос.",1
10033,Он получает гуманистическое образование и принимает участие в рыцарских турнирах.,1
10034,Изабель и посланники Эдуарда ведут переговоры с французами в конце марта.,1
10035,"Теория объясняет только общие принципы поведения, регулирующие отношения между государствами в анархической международной системе, а не объясняет конкретные действия.",1
10036,"Есть определённые истории в чёрной общине, которые информируют нас всех.""",0
10037,Древняя поверхность Калисто является одним из самых сильно кратеризованных кратеров в Солнечной системе.,1
10038,В 1917 году он описал войну как «catastrophe».,1
10039,В конце 1843 года в Натале оставалось не более 500 голландских семей.,0
10040,Мы хотим мира для себя и для всех народов планеты.,0
10041,"Центр Aznavour также будет иметь образовательный и культурный центр, ориентированный на три направления: кино, музыка и français.",1
10042,Низкоэнергетический передатчик канала 9 в Skull Point был самой северной телестанцией в мире в свое время.,1
10043,"Интернет соединяет людей, которые разделяют интересы, идеи и потребности, независимо от географии.»",0
10044,"Решив исправить эту слабость, он отправился в Йоханнесбург и начал принимать уроки полета.",1
10045,"Возможно, они считали всех китайцев независимо от пола и возраста подходящими на роль жертвы.».",0
10046,"Кроме того, с марта 2015 года является первым региональным резервом пресной воды во Франции.",1
10047,"Они начали свое собственное студию записи, чтобы работать, когда захотели.",1
10048,"Альбом под названием «Screaming Our Sins» был выпущен в Швеции 25 ноября, а затем был выпущен во всем мире.",1
10049,"В то же время революционеры подчеркивают двусмысленность петиции, противоречие между ее формой и содержанием.",1
10050,В 1962 году выступал с этим оркестром в Кремлёвском дворце.,0
10051,"На мой взгляд, он не подходит для работы.",0
10052,"Таким образом, совместные партнёры могут получить наследство друг от друга только тогда, когда есть последняя воля или завещание.",0
10053,"""Фантом - замечательная социальная модель, потому что он побеждает зло.",1
10054,"Заказанный снова у производителя Babcock & Wilcox, он был установлен рядом с котлоагрегатом 12.",0
10055,"В последней главе говорится, что он стал моделью.",1
10056,"В 2005 году она была принята в музыкальную академию Red Bull Music Academy в Сиэтле, но не смогла попасть туда из-за отсутствия визы.",1
10057,"Врач семьи, доктор Барбье, решил оперировать его в 1760 году.",0
10058,"Структура ДПМ включает в себя Женскую организацию, Демократическую Молодежь, Организацию пожилых людей «Сокровище Нации» и местных избирателей.",0
10059,"Все, что вам нужно сделать, это работать усерднее.",1
10060,Стала популярной среди португальской публики благодаря телевизионной программе «Возвращение в прошлое».,0
10061,"Однако купцы, торговцы и банкиры считали существующую систему коррумпированной и ограничивающей торговлю.",0
10062,"Украина была, есть и будет морской державой – Президент Порошенко на параде в Одессе (неопр.).",1
10063,"Отдельные части Смоленского кремля были уничтожены в 1812 году французами, а в 1940-е годы немцами.",0
10064,"Полупрезидентская система, установленная Конституцией, в значительной степени заимствована из конституции Франции.",0
10065,"Мы ушли не слишком далеко, когда начался дождь.",0
10066,Более 400 000 жителей Нью-Йорка приняли участие в однодневном бойкоте 3 февраля 1964 года.,1
10067,"Фильм, который был продюсирован компанией TF1, был показан на телевидении только через четыре года после выпуска.",1
10068,"SCTP пакеты имеют более простую структуру, чем пакеты TCP.",0
10069,"В альтернативной временной линии, известной как MC2, Девушка-паук реформирует Новых Воинов и борется с ними.",0
10070,Эта компания также создала популярный московский ночной клуб VI: RUS.,1
10071,В первую неделю июня 2016 года стриминг Skam отвечал за более чем половину трафика на NRK TV.,0
10072,Археологическое прошлое Соловецкого архипелага: материк — море — острова.,0
10073,"Первоначально известная как Библиотека здания Конгресса или Главного здания, она получила свое нынешнее название 13 июня 1980 года.",1
10074,"В 2009 году он сделал альбом Re-creation, где он поёт свои любимые песни.",0
10075,"Мы забрались очень высоко, чтобы охватить взглядом весь город.",0
10076,"Пожалуйста, сообщите мне о любых изменениях в этой ситуации.",1
10077,"В том же году, Yandex превосходит Rambler и с тех пор занимает первое место в Russian сегменте Интернета.",1
10078,1954 — «Каждую ночь в моем саду».,0
10079,"Никто в семье не хочет говорить ему о том, что произошло.",1
10080,"Только встретив его, я понял, каковы его истинные намерения.",0
10081,Они ушли из французской армии и отправились на север Японии с остатками армии шогуната в надежде организовать там контрнаступление.,1
10082,"Некоторые теоретики пытались найти связь между различными параметрами, например между массами частиц в разных поколениях.",0
10083,Он продолжил разговаривать как ни в чём не бывало.,0
10084,"Ты говоришь ему: «Нам это надо, ты это сделаешь или нет?»",0
10085,"Китайское правительство твердо намерено идти в одиночку, несмотря на катастрофические потери.",0
10086,И я также был влюблен в женщин до этого».,1
10087,"Они до сих пор действуют в составе 1-го полка, Королевской канадской лошадиной артиллерии.",1
10088,Рынки внутри Китая по-прежнему относительно закрыты для иностранных компаний.,0
10089,Однако это назначение было отменено в следующем месяце по приказу Бурбонов.,0
10090,"Европейские регуляторы рассматривали возможность использования европейского стандарта HIPERLAN, но в середине 2002 года 802.11a был закрыт для использования в Европе.",1
10091,"Сахар составлял 20 % всего британского импорта и стоил в пять раз дороже, чем табак.",0
10092,"Её труд «История Пермской книги» активно используется российскими учёными, специалистами региональных библиотек.",0
10093,"Нет, все понимали, что грузины что-то готовят, но трудно было даже представить то, что мы увидели.",0
10094,"Самым значительным вкладом Continental во французское кино является, без сомнения, производство фильма «Ворон» Клузо.",0
10095,Национальная Ассамблея (Национальная Ассамблея) (Национальная Ассамблея) (Национальная Ассамблея) (Национальная Ассамблея) (Национальная Ассамблея),1
10096,"Кроме того, эти мероприятия позволяют обеспечить реализацию Европейской хартии местного самоуправления и рекомендаций Конгресса.",1
10097,Наиболее известные и успешные венчурные фонды ежемесячно получают сотни бизнес-планов.,0
10098,"Подождите, пока хлеб совсем остынет, прежде чем есть его.",0
10099,"Вы также понимаете, что в вашем мире есть много фальшивых пророков и справочников.",1
10100,Он председательствует на слушаниях в самом высоком суде страны.,1
